Producto buscado,Nombre,Unidad,Cantidad,Precio,Precio_por_unidad,Promedio_categoria_supermercado,Supermercado
Leche ,Leche Reducida En Grasa Lala 100 1- Lt,lt,1.0,42.0,42.0,25.02,Calimax
Limón,-12% Limon Persa S/Marca Por Kg Kilogramos Unidades,kg,1.0,25.0,25.0,42.33,Calimax
Limón,-12% Limon Mexicano Premium S/Marca Por Kg Kilogramos Unidades,kg,1.0,24.0,24.0,42.33,Calimax
Limón,Limon Amarillo S/Marca Por Kg Kilogramos Unidades,kg,1.0,78.0,78.0,42.33,Calimax
Manzana,- 28% Manzana Gala S/Marca Por Kg Kilogramos Unidades,kg,1.0,45.0,45.0,44.33,Calimax
Manzana,Manzana Verde S/Marca Por Kg Kilogramos Unidades,kg,1.0,47.0,47.0,44.33,Calimax
Manzana,Manzana Roja S/Marca Por Kg Kilogramos Unidades,kg,1.0,41.0,41.0,44.33,Calimax
Naranja,Naranja Valencia S/Marca Por Kg Kilogramos Unidades,kg,1.0,33.0,33.0,39.44,Calimax
Naranja,- 43% Naranja Sin Semilla S/Marca Por Kg Kilogramos Unidades,kg,1.0,59.0,59.0,39.44,Calimax
Naranja,Naranja Cara Cara S/marca 3- lb,lt,3.0,79.0,26.3333,39.44,Calimax
Pan de caja,-21% Chile Rajas En Escabeche San Marcos 215-Gr,g,215.0,16.0,0.0744,29.05,Calimax
Pan de caja,-7% Chile Rajas En Escabeche San Marcos 380- gr,g,380.0,27.0,0.0711,29.05,Calimax
Pan de caja,Hot & Cold Eye Pads Avocado Cala 1- Pza,pza,1.0,87.0,87.0,29.05,Calimax
Papa,- 29% Papa Russet S/Marca 1- Kg Kilogramos Unidades,kg,1.0,19.0,19.0,27.67,Calimax
Papa,Papa Blanca S/Marca Por Kg Kilogramos Unidades,kg,1.0,49.0,49.0,27.67,Calimax
Papa,Papa Russet En Saco S/Marca 1- Kg Kilogramos Unidades,kg,1.0,15.0,15.0,27.67,Calimax
Papel higiénico,-28% 2 x Papel Higienico Regular Kleenex 4- Pza,pza,4.0,50.0,12.5,10.03,Calimax
Papel higiénico,-12% Papel Higienico Regular Kleenex 12- Pza,pza,12.0,94.0,7.8333,10.03,Calimax
Papel higiénico,-6% Papel Higienico Elegance Xl 16s Cottonelle 16- Pza,pza,16.0,156.0,9.75,10.03,Calimax
Pasta para sopa,Sopa Spaghetti La Moderna,g,200.0,9.0,0.045,3.02,Calimax
Pasta para sopa,Sopa Codo a Moderna 200g,lt,2.0,9.0,4.5,3.02,Calimax
Pasta para sopa,Sopa Fideo a Moderna 200g,lt,2.0,9.0,4.5,3.02,Calimax
Pollo entero,Pollo Entero Bachoco 1-Kg Kilogramos Unidades,kg,1.0,69.0,69.0,69.0,Calimax
Sardina en lata,Bebida Lata Sandia Arizona 460- ml,ml,460.0,15.0,0.0326,0.03,Calimax
Tortilla de maíz,Tortillas de Maíz Mission Blancas,g,729.0,30.0,0.0412,0.05,Calimax
Tortilla de maíz,Tortillas de Maíz Mission Amarillas,g,729.0,29.0,0.0398,0.05,Calimax
Tortilla de maíz,Tortillas de Maíz Mission Ligeras Blancas,g,550.0,30.0,0.0545,0.05,Calimax
Zanahoria,- 44% Zanahoria Empacada S/Marca 1- Pza,pza,1.0,15.0,15.0,32.0,Calimax
Zanahoria,Zanahoria Baby Sin Marca 1- Pza,pza,1.0,39.0,39.0,32.0,Calimax
Zanahoria,Zanahoria Rallada S\Marca 1- Lb,lt,1.0,42.0,42.0,32.0,Calimax
